id,description
woqzqxRVCHg,"Esteban Piedrahita ha sido director del DNP y la Cámara de comercio de Cali. Hoy es rector de la ICESI. 

Libros mencionados:

The Wise Men - Evan Thomas y Walter Isaacson (https://amzn.to/44XX0e5)


Anarchy, State, Utopia - Robert Nozick (https://amzn.to/44YddQy)

Karma Cola - Gita Mehta (https://amzn.to/44VmNU8)


The Prize - Daniel Yergin (https://amzn.to/4maPG5W)

Raj Chetty Paper (

Guns, Germs and Steel - Jared Diamond (https://amzn.to/3TSbK9i)

El fin de la historia - Francis Fukuyama (https://amzn.to/44VqjOk)

The rise and fall of the neoliberal order - Gerstle (https://amzn.to/46hZdTX)

Mountainhead - película 

Love, death and robots - serie 

The maniac - Benjamin Labatut (https://amzn.to/44UjaOd)

Un verdor terrible - Benjamin Labatut (https://amzn.to/3H2syY6)

Bartebly - Herman Melville (https://amzn.to/4lG9y0E)

Los nombres de Feliza - Juan Gabriel Vasquez 

La forma de las ruinas - Juan Gabriel Vasquez 

Volver la vista atrás - Juan Gabriel Vasquez 

El hombre que amaba a los perros - Leonardo Padura 

Capítulos:
00:00 intro
01:23 La campaña para el BID  
08:23 Ser Magna cum laude de Harvard  
11:45 La vida de mi papá  
17:23 ¿Qué le sentó mal a Cali en los 90s?  
27:18 El trabajo en la Cámara  
33:56 Acortar el ciclo del aprendizaje  
36:54 El siglo malo de Colombia  
43:34 Para hacer cosas significativas se necesita tiempo  
48:06 Estar en ICESI y la muert3 de mi hermano  
57:44 La gerencia pública vs la privada  
01:07:50 Llegar a la junta de Ecopetrol  
01:12:01 El capital social  
01:15:53 Construir perfiles profesionales más funcionales  
01:18:22 ¿El talento está bien distribuido?  
01:21:24 Desmontar algo que funcionaba muy bien  
01:26:06 Mi mirada sobre Colombia  
01:34:33 ¿Estamos en el mundo de las post-ideas?  
01:42:11 Mi práctica de lectura  
01:47:34 Ser importante dentro de la sociedad civil  
01:51:08 Mi anhelo para Colombia  
01:53:38 Desbloquear la productividad  

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
lRotUPVcc3s,"José Rodríguez Iturbe es abogado venezolano y fue congresista durante 30 años. Ha escrito numerosos libros, entre ellos Venezuela: del octubrismo al puntofijo (https://amzn.to/4mPeJM7)

Pida su asesoría GRATIS con SYMPLIFICA: https://symplifica.com

Libros:

Hitler's Thirty Days to Power: January 1933 - Henry Ashby Turner (https://amzn.to/4mwzgW8)

Capítulos 

00:00 intro
01:02 ¿Es un espejo la historia venezolana para la colombiana?
09:37 La generación del 28
31:17 El pacto de Puntofijo
41:49 El 4 de febrero de 1992
55:07 El día del discurso y el golpe
01:01:01 La crisis de Perez
01:06:59 ¿Quiénes eran los notables?
01:11:35 ¿Cómo Chávez llega a ser imparable?
01:17:03 El temor cuando llega Chávez al poder
01:23:10 El factor de perpetuación del régimen
01:31:32 Mi salida de Venezuela
01:37:32 Chavez, Diosdado, Maduro: ¿Son simplemente perversos ?
01:43:09 El comienzo del fin de la dictadura


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
xDQ5M7btW64,"Luis Pacheco llegó a ser director de planificación de PDVSA y es un experto en la industria del petróleo. 

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

The Prize - Daniel Yergin (https://amzn.to/3H5hk5b)

El pasajero de Truman - Francisco Suniaga (https://amzn.to/3H358lp)

Doña Bárbara - Romulo Gallegos (https://amzn.to/46snAhU)

Fundacion - Isaac Asimov (https://amzn.to/4o7Qg63)

The ascent of man - Jacob Bronowski (https://amzn.to/472YoP7)

Capítulos:
00:00 intro 
01:11 La generación Ayacucho
09:43 Juré no ser parte de la industria petrolera
15:54 Ser jefe de planificación de PDVSA
24:36 ¿Cómo ser un buen planificador?
41:11 La historia política de Venezuela
57:24 Destinar los recursos
01:09:41 La cosecha del petróleo01:28:28 La apertura petrolera
 01:48:33 Chávez no fue un accidente histórico
 01:55:26 La toma de PDVSA
 02:04:02 El golpe de estado y el año 2002
 02:10:40 ¿Qué sucedió con PDVSA?


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
3H_EBWz0D4w,"Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
9j-QWPMrDhE,"Marta Lucía Ramírez ha sido vicepresidenta de Colombia y la primera mujer ministra de defensa. 

Pida su asesoría GRATIS con SYMPLIFICA: https://symplifica.com

TRANSCRIPCIÓN COMPLETA: https://news.acevedoandres.com/p/ep176-marta-lucia-ramirez

Capítulos:
00:00 intro
02:30 Abrirse camino
11:55 Empezar a trabajar con Luis Carlos Sarmiento
16:47 Decidir entre derecho o medicina
20:54 Tener jefes exigentes
25:53 ¿Qué explica el éxito de Sarmiento Angulo?
27:31 Ser la primera ministra de comercio exterior
42:56 Tener de jefe a Santos vs a Pastrana
50:30 Persuadir al gobierno Clinton para el lograr el Plan Colombia
57:54 Uribe me nombra ministra de defensa
01:18:50 La salida del ministerio de defensa
01:25:19 La política de seguridad de Uribe
01:37:26 El mundo hostil de la política

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
YhBlPtfGPj4,"Santiago Tobón es profesor de economía en EAFIT. Investiga la economía del crimen. 

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

Poor Economics - Abhijit Banerjee y Esther Duflo (https://amzn.to/44VrKOC)

Why Nations Fail - James Robinson y Daron Acemoglu (https://amzn.to/4dz3vYL)

Gilberto según Rodríguez Orejuela - Gilberto Rodríguez

Capítulos:
00:00 intro
02:41 Interesarse por el crimen  
11:01 ¿Cuándo hacer un doctorado?  
20:03 El origen de los combos criminales  
29:21 La organización de Escobar vs la de Don Berna  
33:52 El mercado de la coc4ina  
46:41 La estrategia de prevención para los jóvenes  
57:15 El problema de la extorsión  
01:11:00 El culpable de siempre en Colombia  
01:20:10 Reducir el consumo de las drog4s  
01:21:26 El trabajo de los policías ante los combos  
01:23:03 El metro cable y los combos  
01:30:29 La investigación sobre “los combos”  
01:38:00 Los costos sociales de la industria sexu4l  
01:44:41 Los trade-offs del lavado de activos  
01:47:41 Violencia y pobreza en Colombia  

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
_ZM5MTi9uLI,"Carlos Granés es autor de varios libros, el más reciente: Delirio Americano, una historia cultural y política de América Latina. 

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal


00:00 intro
02:51 Las joyas de Madrid  
09:27 Modus operandi para escribir  
15:35 Tener redes sociales  
16:27 La historia del squash  
24:27 No servía para la arquitectura pero sí para la psicología  
36:19 Mis trabajos alimenticios  
42:51 El flechazo con la docencia  
49:51 La decepción de la academia de Madrid 
01:04:05 Cambiar de tesis  
01:13:27 La manera de leer  
01:19:02 La influencia de Vargas Llosa  
01:27:51 Escribir el libro “delirio americano”  
01:32:09 Ir a una buena biblioteca  
01:37:12 La seducción del poder  
01:39:20 Los artistas y el poder  
01:44:28 El pensamiento escolástico  
01:51:48 ¿De qué se trató el siglo XX en Latinoamérica?  
01:58:48 Ser bueno en algo no lo hace bueno en todo  
02:02:09 La idea excluyente de nacionalidad  
02:07:00 No hay nada más aburridor que una utopía  
02:09:55 Las conversaciones con colegas  
02:11:07 Los aprendizajes sobre Vargas Llosa  


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
piyxMaLdINI,"Pablo Navas es fundador del colegio Los Nogales y ha sido rector de la universidad de Los Andes. 

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

La indomable razón - Luis Fernando Molina 

Eight days a week: Father Francis - Miguel Silva y Rafael Santos

Alberto Magno en Los Andes - Pablo Navas

El viaje de Frederic Church - Pablo Navas

Capítulos:

00:00 intro
02:45 La historia del edificio Pedro Navas
06:30 ¿Por qué La Universidad de los Andes era tan atractiva?
18:51 Ser rector del San Carlos a los 23 años
25:56 El proyecto del colegio San Carlos
36:45 Ser rector de Los Andes por 8 años
43:56 El significado de estudiar en Los Andes
01:00:45 “El talento está distribuido por las oportunidades”
01:06:36 Los procesos democráticos en las universidades
01:15:20 Crear el programa “Ser pilo paga”
01:38:41 La muerte de “Ser pilo paga
01:45:45 ¿Colombia está avanzando?
01:47:40 ¿Era muy costoso “Ser pilo paga”?
01:52:16 El concepto de la universidad publica y la privada
01:53:54 Cómo obtener recursos para las becas
02:01:45 Negociar con FECODE
02:06:16 Hacer cosas significativas más que exitosas

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
nw3cayd9C18,"Jorge Iván González ha sido director del DNP y decano de economía en la Universidad Nacional.

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

Critica al programa de Gotha - Marx

El perfume - Patrick Suskind https://amzn.to/469xNPU

Funes el memorioso - Borges

La acción humana - Von Mises https://amzn.to/44hrYNO

Amigos en el señor - Javier Osuna 

Pensar rápido, pensar despacio - Daniel Kanheman y Amos Tversky https://amzn.to/4kaw5kX

Juan Luis Londoño, ideas para la acción https://revistas.uexternado.edu.co/index.php/ecoins/article/view/213/8104

El hombre que amaba los perros - Leonardo Paduro https://amzn.to/4kpL0rD

Los miserables - Victor Hugo https://amzn.to/4kc7HiP

Volver la vista atrás - Juan Gabriel Vásquez https://amzn.to/4kZTM0t

Capítulos:

00:00 intro 
01:13 Las enseñanzas de Marx
05:44 Estudiar filosofía
09:23 La economía construye relatos
16:18 Riqueza vs virtuosidad
21:18 Educarse con jesuitas
35:18 Escribir sobre Juan Luis Londoño
40:24 Sobre la tecnocracia
45:49 La mirada estructuralista de los gobiernos
48:13 La reforma de Carrasquilla vs la de Ocampo
51:03 Pensar a largo plazo en Colombia
55:39 El problema del presupuesto para los proyectos
59:48 Combinar participación con jerarquía
01:02:51 Hacer el doctorado en Bélgica
01:08:46 La historia del país desde la Universidad Nacional
01:13:09 Los seres humanos somos miopes por eso necesitamos a la institución
01:19:57 Los aportes del plan de desarrollo
01:26:47 El conflicto del sueño del presidente con el catastro
01:31:00 Los estratos en Colombia
01:32:47 La solución alternativa a los problemas
01:36:39 ¿La corrupción está en el top 10 de los problemas del país?
01:41:05 El progreso de Colombia
01:45:19 Autores importantes


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
M0nD4fgRTsU,"Juan Carlos Pinzón es economista. Ha sido ministro de defensa y embajador de Colombia en Estados Unidos.
SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal


Pida su asesoría GRATIS con SYMPLIFICA: https://symplifica.com

Recursos:

Episodio Jaime Ruiz https://www.youtube.com/watch?v=Pll6UggmPIw&t=1320s

Objetivo 4 - German Castro Caycedo https://amzn.to/4jBEwVY

El soldado y el Estado - Samuel Huntington https://amzn.to/458359t

Capítulos:

00:00 intro
02:24 Mis primeros trabajos
19:46 Cómo se elige al presidente
24:28 Trabajar en el ministerio de Hacienda
32:52 ¿Por qué parecía que la guerrilla ganaba la guerra?
39:39 Los acuerdos de paz en Colombia
43:13 ¿Era un conflicto interno o externo?
48:13 La seguridad de una nación
50:02 ¿Qué tan cerca estuvimos de que las FARC se tomaran el poder?
54:09 La velocidad de movimiento en una guerra
01:00:31 El avión fantasma vs los Black Hawks
01:05:15 El efecto de los acuerdos
01:09:29 Llegar a ser viceministro
01:18:31 El soldado y el estado
01:29:31 La imagen de las Fuerzas Armadas
01:35:07 Estar en el ministerio durante el acuerdo
01:43:20 ¿Qué hacer ante el panorama actual?
01:44:31 La presencia del Estado

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
lCHOK0yNjCc,"Juan Luis Mejía ha sido rector de Eafit, ministro de cultura, y consul en Sevilla. 

00:00 intro 
01:08 La actitud desafiante de Escobar  
04:16 Entender a la sociedad española que vino a América  
10:28 La fiebre del oro  
12:25 La burbuja tras negociar con Londres  
20:29 El inicio de la asociatividad  
26:04 El proceso de industrialización en Antioquia  
30:39 Los años 90 en Medellín  
37:09 La migración del campo y el origen del sic4riato  
43:24 ¿Qué pasó con los padres de los sic4rios?  
45:12 La mentalidad del dinero  
47:09 Yo era un “vago ilustrado”  
51:57 La piratería terrestre en Colombia  
55:21 Hacerse lector  
59:55 Tener discusiones sobre el país  
01:07:29 El gobierno de Belisario Betancur  
01:13:45 El día del Palacio de Justicia  
01:20:03 El cuadro de bisontes y Carlos E Restrepo  

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
